#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690540638864130618,0.4484967389,-0.3746560595,0.2729097713,-0.4639103466,0.0424926378,-0.0674143101,0.8822906986
1690540638873792512,0.4483297665,-0.3748040896,0.2729825900,-0.4632189766,0.0444465058,-0.0648455813,0.8827500996
1690540638884123286,0.4486554638,-0.3746128994,0.2729900422,-0.4644698514,0.0425269027,-0.0661433110,0.8820908582
1690540638894336946,0.4487458076,-0.3745952446,0.2730157259,-0.4646379639,0.0420120701,-0.0658432090,0.8820494432
1690540638904073451,0.4488194112,-0.3745614638,0.2730234215,-0.4651009445,0.0425632951,-0.0651294055,0.8818319782
1690540638913957072,0.4486712546,-0.3746793711,0.2730740066,-0.4640298416,0.0443152318,-0.0633201317,0.8824415149
1690540638924025414,0.4489885059,-0.3744893443,0.2730771562,-0.4650542210,0.0428567028,-0.0646749621,0.8818758551
1690540638934101745,0.4490877911,-0.3744533140,0.2730873519,-0.4651712515,0.0424502814,-0.0650400604,0.8818069352
1690540638943908592,0.4497977827,-0.3741122775,0.2732289326,-0.4660010742,0.0340569947,-0.0691244355,0.8814221079
1690540638954099615,0.4498217495,-0.3741246520,0.2732046270,-0.4659554461,0.0353081020,-0.0684432786,0.8814501562
1690540638964011504,0.4498487895,-0.3741117088,0.2732284610,-0.4660627096,0.0345425624,-0.0687852732,0.8813971569
1690540638974153011,0.4499015990,-0.3740904812,0.2732640312,-0.4657896598,0.0331439442,-0.0690879501,0.8815715098
1690540638984060359,0.4498492232,-0.3740974490,0.2732379269,-0.4658081899,0.0333633033,-0.0691249174,0.8815505465
1690540638994074285,0.4498515530,-0.3740764403,0.2732455234,-0.4657485402,0.0334689577,-0.0690919789,0.8815806399
1690540639003896580,0.4498585699,-0.3740547900,0.2732433987,-0.4657460425,0.0337707088,-0.0690049302,0.8815772698
1690540639014036115,0.4497812365,-0.3740929506,0.2732931080,-0.4648170462,0.0328430497,-0.0682470265,0.8821614314
1690540639024055270,0.4498009107,-0.3739526657,0.2732107276,-0.4657966559,0.0336027658,-0.0688424181,0.8815696518
1690540639033928091,0.4497814986,-0.3738738887,0.2732359445,-0.4659474143,0.0333884404,-0.0688604340,0.8814967157
1690540639044264710,0.4497264572,-0.3737611357,0.2732734878,-0.4659746317,0.0323975728,-0.0691615770,0.8814957267
1690540639053943092,0.4496481481,-0.3736886453,0.2732621107,-0.4659979540,0.0327641119,-0.0686924476,0.8815065329
1690540639064056182,0.4495886757,-0.3735713398,0.2732903909,-0.4663235444,0.0329232043,-0.0683549014,0.8813546517
1690540639074257881,0.4494739016,-0.3732082118,0.2732553901,-0.4656489054,0.0352241582,-0.0629054635,0.8820279237
1690540639084034348,0.4493748521,-0.3731226440,0.2732460900,-0.4657658251,0.0358993821,-0.0624679486,0.8819700595
1690540639093869235,0.4485349673,-0.3733491011,0.2731125913,-0.4652193113,0.0441048214,-0.0577538158,0.8822076025
1690540639104108968,0.4484129392,-0.3732246262,0.2731428328,-0.4655071916,0.0442505102,-0.0577620459,0.8820478972
1690540639114053796,0.4482803325,-0.3731314609,0.2731652165,-0.4659773166,0.0438069456,-0.0577367423,0.8818234293
1690540639124126849,0.4481152277,-0.3730433340,0.2731592959,-0.4663633301,0.0432223108,-0.0577545429,0.8816470320
1690540639134000723,0.4479652034,-0.3729487375,0.2731798699,-0.4662520693,0.0424883165,-0.0581960190,0.8817125235
1690540639143976127,0.4477774397,-0.3728548559,0.2731690006,-0.4668499454,0.0422777576,-0.0575513617,0.8814485580
1690540639153952339,0.4476558036,-0.3727468753,0.2731878548,-0.4668378544,0.0423644565,-0.0579183083,0.8814267639
1690540639163882611,0.4474515504,-0.3726661941,0.2732309471,-0.4666123530,0.0423184385,-0.0581354018,0.8815340815
1690540639174255777,0.4472867609,-0.3725918810,0.2732455341,-0.4669869953,0.0424957003,-0.0574216444,0.8813739368
1690540639184167674,0.4470989330,-0.3724830208,0.2732643673,-0.4669607192,0.0418754439,-0.0581754204,0.8813681151
1690540639193936376,0.4468875430,-0.3724162046,0.2732882777,-0.4670018636,0.0418773536,-0.0581336924,0.8813489777
1690540639204040830,0.4466557415,-0.3723652611,0.2733047644,-0.4666715850,0.0416922335,-0.0583127015,0.8815208553
1690540639214165573,0.4464164632,-0.3723310896,0.2733297505,-0.4668707895,0.0414350259,-0.0580449090,0.8814451730
1690540639223858644,0.4462074723,-0.3722976845,0.2733698505,-0.4666251470,0.0408868334,-0.0584750492,0.8815724064
1690540639233967123,0.4459634526,-0.3722829659,0.2733901383,-0.4668411780,0.0409008410,-0.0583292862,0.8814670329
1690540639243953539,0.4457438558,-0.3722892595,0.2734404191,-0.4664621259,0.0405535264,-0.0585880231,0.8816665697
1690540639253940971,0.4455493536,-0.3723000644,0.2734472799,-0.4666002678,0.0412218232,-0.0580439659,0.8815984627
1690540639263971558,0.4452951509,-0.3723614698,0.2734727844,-0.4666768355,0.0415128719,-0.0576773441,0.8815683392
1690540639274178147,0.4450162418,-0.3724253168,0.2734998674,-0.4664608507,0.0418780838,-0.0575990297,0.8816704898
1690540639283988147,0.4447972717,-0.3725024628,0.2734762161,-0.4665640243,0.0418435059,-0.0572036931,0.8816432780
1690540639293893433,0.4445349350,-0.3725936345,0.2734531472,-0.4664956249,0.0422179258,-0.0570412855,0.8816721445
1690540639304062047,0.4442965345,-0.3726931751,0.2734488499,-0.4665027131,0.0423339984,-0.0570833148,0.8816601082
1690540639314089958,0.4440878149,-0.3728023994,0.2734627434,-0.4666260631,0.0427540184,-0.0575654391,0.8815432101
1690540639324001802,0.4438383248,-0.3729492240,0.2734081800,-0.4670103670,0.0430621402,-0.0564236901,0.8813985117
1690540639334000680,0.4436508607,-0.3733008262,0.2734743810,-0.4677661163,0.0413348870,-0.0611563805,0.8807645456
1690540639344070704,0.4434162088,-0.3734650555,0.2734927399,-0.4677582563,0.0411949369,-0.0618780366,0.8807248716
1690540639353944541,0.4431927532,-0.3736487751,0.2734990685,-0.4676836182,0.0414172205,-0.0618397928,0.8807567696
1690540639364331047,0.4429342157,-0.3738576176,0.2735071820,-0.4675447212,0.0417808724,-0.0614624255,0.8808397485
1690540639374313334,0.4426923352,-0.3740560991,0.2735196572,-0.4676812085,0.0416377338,-0.0616044948,0.8807641413
1690540639383942850,0.4424634071,-0.3742696317,0.2735238035,-0.4676601304,0.0413770518,-0.0618276400,0.8807719824
1690540639394056584,0.4422276663,-0.3745351344,0.2735160257,-0.4677238515,0.0418066882,-0.0619761688,0.8807074168
1690540639403980004,0.4420615870,-0.3748692356,0.2736780591,-0.4663684228,0.0389248335,-0.0616055344,0.8815838642
1690540639414008201,0.4416233793,-0.3752925668,0.2737444334,-0.4653135141,0.0395830801,-0.0603202118,0.8822006492
1690540639424061469,0.4415725182,-0.3753140675,0.2735257561,-0.4687162434,0.0415607549,-0.0626656619,0.8801424894
1690540639434000744,0.4413738271,-0.3755509094,0.2735155003,-0.4687259268,0.0412936938,-0.0631246316,0.8801171043
1690540639444016104,0.4408995040,-0.3759686346,0.2735171888,-0.4677621696,0.0430689243,-0.0611315993,0.8806852718
1690540639453965258,0.4409689082,-0.3760453033,0.2734612470,-0.4691855397,0.0415832067,-0.0624137614,0.8799092502
1690540639464048555,0.4407883648,-0.3762979691,0.2734215018,-0.4697853727,0.0424197310,-0.0618767803,0.8795871384
1690540639474346139,0.4406749394,-0.3765697820,0.2734150223,-0.4698681778,0.0407199508,-0.0613973251,0.8796568363
1690540639483918802,0.4404539290,-0.3768493161,0.2732897236,-0.4704276937,0.0430939476,-0.0608106288,0.8792853712
1690540639493998998,0.4403204800,-0.3771408518,0.2731779508,-0.4707911248,0.0431810608,-0.0604642141,0.8791104547
1690540639504291609,0.4399601958,-0.3776025566,0.2730931395,-0.4701110566,0.0453826096,-0.0578943972,0.8795363847
1690540639513902561,0.4400765898,-0.3777788134,0.2729373736,-0.4716198759,0.0434122150,-0.0597197531,0.8787056523
1690540639524067754,0.4400130998,-0.3780754077,0.2728380433,-0.4722093170,0.0434239475,-0.0594945502,0.8784037342
1690540639533965543,0.4399209715,-0.3784231688,0.2727439166,-0.4729894591,0.0439488630,-0.0593229238,0.8779693957
1690540639544084566,0.4398041531,-0.3787855465,0.2726818650,-0.4732089713,0.0443304533,-0.0588538338,0.8778634898
1690540639554045849,0.4404050294,-0.3792095392,0.2728160700,-0.4810668654,0.0536522108,-0.0537535775,0.8733880376
1690540639564212502,0.4403739759,-0.3796443262,0.2727525153,-0.4829372716,0.0547360607,-0.0526397100,0.8723557854
1690540639574090889,0.4402237926,-0.3800719665,0.2726264216,-0.4829733792,0.0521566491,-0.0538276999,0.8724213304
1690540639584037877,0.4401032841,-0.3804873388,0.2725279640,-0.4836526066,0.0508395295,-0.0539249768,0.8721167326
1690540639594008656,0.4399967178,-0.3808679015,0.2725071160,-0.4833381662,0.0508242792,-0.0540251634,0.8722857281
1690540639604063193,0.4399073135,-0.3812802814,0.2725069537,-0.4836295509,0.0515177851,-0.0540632041,0.8720811575
1690540639613943623,0.4397568157,-0.3816982516,0.2724569683,-0.4835203156,0.0501156602,-0.0543597218,0.8722049906
1690540639624142637,0.4395035887,-0.3822700822,0.2724821749,-0.4828630209,0.0508161594,-0.0531517800,0.8726029505
1690540639634059411,0.4395800507,-0.3825383793,0.2724343594,-0.4837685668,0.0495353795,-0.0549433300,0.8720639028
1690540639643822350,0.4393614026,-0.3831011728,0.2725179142,-0.4833791215,0.0505094304,-0.0533859602,0.8723206759
1690540639653923405,0.4392855418,-0.3834862358,0.2725518025,-0.4835287460,0.0496707044,-0.0540275829,0.8722464062
1690540639664120817,0.4394039253,-0.3837193153,0.2725687120,-0.4840993341,0.0472797380,-0.0562688233,0.8719210289
1690540639673906497,0.4393315084,-0.3841129730,0.2726593472,-0.4839542626,0.0472885083,-0.0566127004,0.8719788247
1690540639684041666,0.4392746872,-0.3844847207,0.2727433450,-0.4838315715,0.0460779358,-0.0571430267,0.8720771232
1690540639694332529,0.4391757371,-0.3848579872,0.2728436484,-0.4841462006,0.0462904314,-0.0567450589,0.8719172270
1690540639704237492,0.4391032932,-0.3852194228,0.2729554042,-0.4842335137,0.0457113866,-0.0573285843,0.8718611166
1690540639713929424,0.4392154054,-0.3856165053,0.2732463171,-0.4821409079,0.0421520657,-0.0581710724,0.8731434445
1690540639723928274,0.4389321278,-0.3858464376,0.2731720812,-0.4851775477,0.0448047862,-0.0576616298,0.8713612424
1690540639733973930,0.4388348749,-0.3861840055,0.2732983809,-0.4857239148,0.0443727895,-0.0580091833,0.8710558356
1690540639744072505,0.4387106397,-0.3864764837,0.2734031630,-0.4862405779,0.0439634642,-0.0577984129,0.8708023069
1690540639754167069,0.4386000503,-0.3867375387,0.2735101581,-0.4866746303,0.0436391516,-0.0572799603,0.8706103806
