#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690539987526750803,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000,-0.0000000000
1690539987560112476,-0.0000553774,0.0000448689,-0.0001611897,1.0000000000,0.0000100742,0.0000462487,-0.0000525065
1690539987593474627,0.0000569923,0.0000694857,-0.0000961952,1.0000000000,-0.0000092368,-0.0000413132,0.0000512881
1690539987626836538,-0.0000481406,-0.0000778869,-0.0000920206,1.0000000000,-0.0000338967,0.0000173218,-0.0000223652
1690539987660198450,0.0000418900,-0.0000029180,-0.0001462916,1.0000000000,0.0000331812,0.0000213245,-0.0001057519
1690539987693556547,-0.0000624302,0.0000434216,0.0002082055,1.0000000000,0.0000147731,0.0000001737,0.0000408357
1690539987726915121,0.0000041434,-0.0000075567,-0.0001339162,1.0000000000,-0.0000348938,-0.0000161292,0.0000709930
1690539987760273457,-0.0000493055,-0.0000052861,-0.0001838307,1.0000000000,0.0000001062,0.0000497547,-0.0000276310
1690539987793631792,-0.0000948238,0.0000804086,0.0002309284,1.0000000000,0.0000725745,0.0000748950,-0.0000351681
1690539987826990128,-0.0000311028,0.0000195269,-0.0002483264,1.0000000000,0.0000153912,0.0000544264,0.0000017436
1690539987860348701,0.0000254325,-0.0000141401,-0.0001425728,1.0000000000,-0.0000222839,0.0000148687,0.0000132162
1690539987893707037,0.0000201012,0.0000666816,0.0003269092,1.0000000000,0.0000442852,0.0000150923,-0.0000456984
1690539987927065372,0.0000138012,0.0000289455,-0.0002879999,1.0000000000,-0.0000328335,0.0000233119,0.0000811379
1690539987960423946,-0.0000578303,-0.0000592515,0.0000594489,1.0000000000,-0.0000182843,0.0000261803,-0.0000437214
1690539987993782282,0.0000226227,-0.0000440578,-0.0002261426,1.0000000000,0.0000047129,0.0000278904,-0.0001253956
1690539988027140617,-0.0000286987,0.0000150160,-0.0000526601,1.0000000000,0.0000219911,0.0000077729,0.0000131190
1690539988060498953,-0.0001501805,-0.0000522117,-0.0000934955,1.0000000000,-0.0000368729,0.0000548181,0.0000056034
1690539988093857527,-0.0001253698,0.0000043370,-0.0002122234,1.0000000000,0.0000025936,0.0000844112,-0.0001007892
1690539988127215862,0.0000088983,-0.0000174568,-0.0003039221,1.0000000000,-0.0000054683,0.0000273478,-0.0000396031
1690539988160574198,-0.0001099633,0.0000414807,-0.0001721115,1.0000000000,0.0000085937,0.0000368693,-0.0000601904
1690539988193932772,-0.0002087922,0.0000653623,0.0003477836,1.0000000000,0.0000212530,0.0000553656,-0.0000598280
1690539988227291346,0.0000462123,0.0000206761,-0.0000934587,1.0000000000,-0.0000026121,0.0000069907,-0.0000433388
1690539988260649681,0.0000033137,0.0000215001,0.0002301426,1.0000000000,0.0000201149,0.0000032903,-0.0000367455
1690539988294008017,0.0001121482,0.0000719670,0.0000819326,1.0000000000,0.0000111736,0.0000098488,-0.0000419149
1690539988327366352,0.0000338932,-0.0000217556,-0.0002938010,1.0000000000,-0.0000045983,0.0000737980,-0.0000590952
1690539988360725164,0.0000114479,0.0001004112,0.0001992750,1.0000000000,0.0000393410,0.0000062773,0.0000453884
1690539988394083500,0.0000236887,0.0000086569,0.0000656873,1.0000000000,0.0000088710,-0.0000049888,0.0000218843
1690539988427441835,-0.0000620434,0.0000326145,-0.0000759509,1.0000000000,0.0000147792,0.0000225306,0.0000060819
1690539988460800648,-0.0000725805,-0.0000525478,-0.0003493057,1.0000000000,-0.0000065252,0.0000490382,0.0000209429
1690539988494158983,-0.0000633302,0.0000730607,-0.0002184037,1.0000000000,0.0000329860,0.0000430608,-0.0000025715
1690539988527517319,-0.0001759435,0.0000464488,-0.0000682675,1.0000000000,0.0000461259,-0.0001145267,-0.0000033562
1690539988560875893,-0.0000443599,-0.0001103066,-0.0002391129,1.0000000000,-0.0000570367,-0.0002728520,-0.0000188540
1690539988594234467,-0.0001270336,-0.0000215454,-0.0001307037,1.0000000000,-0.0000537397,-0.0002331434,-0.0000715020
1690539988627593040,-0.0000469908,0.0000549300,-0.0000800967,1.0000000000,0.0000545272,-0.0001371402,-0.0000539374
1690539988660951376,-0.0001181805,0.0000711152,0.0001747871,1.0000000000,0.0000730611,-0.0000524151,-0.0000653767
1690539988694308043,-0.0000643674,0.0000315742,0.0000565858,1.0000000000,0.0000673123,-0.0000980854,-0.0000468395
1690539988727664709,-0.0000724353,0.0001214092,0.0002046800,1.0000000000,0.0000490008,-0.0000939534,-0.0000695599
1690539988761021376,-0.0001307330,0.0000340586,-0.0003717655,1.0000000000,0.0000414629,-0.0000287253,-0.0001179604
1690539988794378281,-0.0000910718,0.0000825717,-0.0000159459,1.0000000000,0.0000873487,-0.0000849890,-0.0000671126
1690539988827734947,-0.0000698982,0.0000610067,-0.0000116966,1.0000000000,0.0000759315,-0.0000329151,0.0000124089
1690539988861091375,0.0000686584,0.0000771132,-0.0001444857,1.0000000000,0.0000575668,-0.0000108488,-0.0000027863
1690539988894448042,0.0001121438,-0.0000285707,-0.0002863763,1.0000000000,0.0000216648,-0.0000197675,-0.0000215718
1690539988927804708,-0.0000275591,0.0001106602,0.0001005314,1.0000000000,0.0000667626,-0.0000048359,-0.0000741306
1690539988961161375,-0.0000170788,0.0000871505,0.0002894754,1.0000000000,0.0001117402,-0.0000224679,-0.0000181692
1690539988994518042,-0.0000497557,0.0000403587,-0.0002836075,1.0000000000,0.0000408503,-0.0000988766,-0.0000691375
1690539989027874470,-0.0002463175,0.0002157611,-0.0000974292,1.0000000000,-0.0000875389,-0.0000504919,0.0000143938
1690539989061231136,-0.0000615095,0.0001352444,-0.0006393524,0.9999998212,-0.0006383284,-0.0000339702,0.0001583421
1690539989094587803,-0.0001790021,0.0004698510,-0.0002854791,0.9999985695,-0.0016046286,0.0005528844,0.0001647710
1690539989127944469,-0.0002571516,0.0003582516,-0.0001418311,0.9999936223,-0.0032864346,0.0013671332,0.0003896787
1690539989161301136,-0.0002614756,-0.0002361554,0.0004323981,0.9999895096,-0.0042147380,0.0017099018,0.0006154768
