#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690540885757536888,0.2270247489,-0.2001416385,-0.0742051005,0.9245617986,0.2198376656,0.2604949176,0.1702918410
1690540885790805101,0.2276490182,-0.1995420754,-0.0752165914,0.9235094786,0.2190263867,0.2631699145,0.1729143411
1690540885824072838,0.2281843424,-0.1985415816,-0.0785782933,0.9228628278,0.2175575793,0.2653235197,0.1749181896
1690540885857339859,0.2272227407,-0.1974918395,-0.0779909492,0.9219027758,0.2165617645,0.2677004635,0.1775746644
1690540885890605927,0.2287776172,-0.1965628862,-0.0766574740,0.9209986329,0.2159267366,0.2701067328,0.1793867946
1690540885923871517,0.2304903269,-0.1958168745,-0.0754999816,0.9202679396,0.2150402963,0.2725612223,0.1804855019
1690540885957136154,0.2386916876,-0.1959574819,-0.0813058242,0.9199616909,0.2133927643,0.2734704316,0.1826141328
1690540885990400314,0.2425928116,-0.1960538030,-0.0843213946,0.9195826054,0.2116276324,0.2748453021,0.1845036745
1690540886023663759,0.2444779426,-0.1958881021,-0.0791641325,0.9185189605,0.2110942751,0.2775015831,0.1864269823
1690540886056926489,0.2455931902,-0.1973035336,-0.0821717754,0.9172806740,0.2110704035,0.2796475887,0.1893219650
1690540886090188503,0.2435391098,-0.1969068497,-0.0891617835,0.9164577127,0.2106820345,0.2817277014,0.1906511635
1690540886123450041,0.2425084859,-0.1911353469,-0.0846108943,0.9158930779,0.2099946886,0.2843706310,0.1901983768
1690540886156710386,0.2497762442,-0.1903114021,-0.0874042213,0.9159513116,0.2075707614,0.2859077156,0.1902743578
1690540886189970493,0.2561919689,-0.1911701262,-0.0895004272,0.9157062173,0.2054506242,0.2875249386,0.1913153678
1690540886223229647,0.2590212822,-0.1918232143,-0.0910153538,0.9149504900,0.2040598392,0.2900073826,0.1926678121
1690540886256488323,0.2594003379,-0.1908057332,-0.0918147042,0.9138952494,0.2028026134,0.2930201888,0.1944369674
1690540886289746046,0.2624492645,-0.1884726286,-0.0902217329,0.9130719900,0.2015223056,0.2958221138,0.1953907460
1690540886323003292,0.2654991746,-0.1887517273,-0.0880270898,0.9123303890,0.1999813616,0.2986610234,0.1961180866
1690540886356259584,0.2631363869,-0.1871047169,-0.0942736417,0.9118921757,0.1984074563,0.3007557988,0.1965530962
1690540886389515400,0.2649021149,-0.1853038222,-0.0925613195,0.9114249349,0.1967606097,0.3037357926,0.1957918257
1690540886422770500,0.2692870200,-0.1846242547,-0.0947372913,0.9110885859,0.1946927756,0.3056942523,0.1963757128
